Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
GO_POSITIVE_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION	15	0.45367	0.45654	1	0.54633	0.54446	0.7786	0.48058	0.88212	0.95994	11	0.58267	0.99201	1	4	0.19984	0.086913	0.36159
GO_IRON_ION_TRANSPORT	53	0.46302	0.52747	1	0.53698	0.47353	0.71986	0.29832	0.030969	0.31654	30	0.31485	0.16184	0.89323	23	0.27675	0.024975	0.19744
GO_REGULATION_OF_RECEPTOR_BINDING	17	0.58608	0.94106	1	0.41392	0.05994	0.20887	0.35311	0.36863	0.7307	5	0.19296	0.11788	0.83459	12	0.41984	0.58541	0.80631
GO_POSITIVE_REGULATION_OF_POTASSIUM_ION_TRANSPORT	37	0.42884	0.28871	1	0.57116	0.71229	0.90046	0.33006	0.15485	0.54214	21	0.28444	0.097902	0.81172	16	0.38993	0.46853	0.73322
GO_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	410	0.50273	0.995	1	0.49727	0.005994	0.046082	0.35552	0.040959	0.36194	200	0.345	0.14685	0.8678	210	0.36554	0.067932	0.32855
GO_REGULATION_OF_CARDIAC_MUSCLE_CELL_PROLIFERATION	29	0.54711	0.90609	1	0.45289	0.094905	0.28011	0.37251	0.44256	0.77566	13	0.4052	0.68731	1	16	0.34595	0.25774	0.57183
GO_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	758	0.50505	1	1	0.49495	0.000999	0.013594	0.35106	0.001998	0.096338	376	0.35606	0.23077	0.95731	382	0.34614	0.000999	0.030556
GO_REGULATION_OF_INTERLEUKIN_10_SECRETION	10	0.35743	0.1988	1	0.64257	0.8022	0.96099	0.28809	0.17183	0.55923	6	0.16913	0.051948	0.70258	4	0.46653	0.65734	0.84459
GO_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY	25	0.37596	0.1009	0.8898	0.62404	0.9001	1	0.32227	0.17383	0.56079	17	0.31926	0.27373	0.95895	8	0.32866	0.25175	0.56647
GO_CELLULAR_KETONE_METABOLIC_PROCESS	64	0.60516	1	1	0.39484	0.000999	0.013594	0.35812	0.26973	0.65348	27	0.48853	0.97602	1	37	0.26295	0.006993	0.10037
GO_CRANIAL_NERVE_DEVELOPMENT	40	0.4456	0.3956	1	0.5544	0.60539	0.82101	0.38756	0.53946	0.81559	24	0.39897	0.67632	1	16	0.37046	0.37263	0.66772
GO_WNT_SIGNALING_PATHWAY_CALCIUM_MODULATING_PATHWAY	34	0.43365	0.31169	1	0.56635	0.68931	0.88554	0.36462	0.3986	0.75371	20	0.34713	0.3956	0.99558	14	0.38962	0.44755	0.7176
GO_EPIDERMAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	53	0.49698	0.77622	1	0.50302	0.22478	0.46205	0.39574	0.61638	0.85153	25	0.35309	0.41159	1	28	0.43383	0.74625	0.89936
GO_CELL_PROLIFERATION_IN_FOREBRAIN	27	0.44241	0.42458	1	0.55759	0.57642	0.79957	0.30237	0.078921	0.44485	14	0.21622	0.033966	0.63251	13	0.39514	0.47353	0.73584
GO_RESPONSE_TO_MURAMYL_DIPEPTIDE	14	0.29702	0.040959	0.54563	0.70298	0.96004	1	0.26524	0.080919	0.44926	11	0.27408	0.17383	0.91064	3	0.2328	0.19081	0.51225
GO_REGULATION_OF_POSITIVE_CHEMOTAXIS	22	0.55392	0.88212	1	0.44608	0.11888	0.31922	0.43664	0.79121	0.9268	10	0.49891	0.91409	1	12	0.38474	0.42957	0.70797
GO_REGULATION_OF_IMMUNE_RESPONSE	767	0.46576	0.68931	1	0.53424	0.31169	0.56274	0.38101	0.44655	0.77713	427	0.38257	0.82617	1	340	0.37904	0.11389	0.40214
GO_NEGATIVE_REGULATION_OF_NOTCH_SIGNALING_PATHWAY	26	0.37016	0.094905	0.85569	0.62984	0.90609	1	0.33949	0.26374	0.6484	17	0.29633	0.17582	0.91141	9	0.42102	0.57642	0.80139
GO_MEMBRANE_LIPID_CATABOLIC_PROCESS	21	0.56435	0.91808	1	0.43565	0.082917	0.2583	0.40517	0.62837	0.8561	8	0.38821	0.55145	1	13	0.41561	0.55245	0.78595
GO_POSITIVE_REGULATION_OF_NEUROBLAST_PROLIFERATION	20	0.46919	0.53546	1	0.53081	0.46553	0.71211	0.36471	0.4036	0.75538	13	0.46392	0.86114	1	7	0.18048	0.021978	0.18461
GO_CARTILAGE_MORPHOGENESIS	12	0.42143	0.35964	1	0.57857	0.64136	0.8508	0.27279	0.11089	0.49338	7	0.24198	0.13786	0.85575	5	0.31592	0.30869	0.62201
GO_PEPTIDE_SECRETION	53	0.47809	0.65035	1	0.52191	0.35065	0.60337	0.35566	0.25175	0.64034	28	0.34872	0.36563	0.9842	25	0.36345	0.28671	0.60008
GO_THIOESTER_METABOLIC_PROCESS	76	0.58684	0.999	1	0.41316	0.001998	0.022784	0.42209	0.88312	0.95994	29	0.47032	0.95604	1	47	0.39233	0.42258	0.7043
GO_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE	25	0.48795	0.64436	1	0.51205	0.35664	0.60943	0.26234	0.013986	0.25017	13	0.26753	0.1009	0.81603	12	0.25671	0.054945	0.30047
GO_REGULATION_OF_T_HELPER_2_CELL_DIFFERENTIATION	11	0.55491	0.8042	1	0.44509	0.1968	0.4267	0.43004	0.70929	0.89923	5	0.49385	0.82218	1	6	0.37687	0.46753	0.73322
GO_NEGATIVE_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS	119	0.45515	0.44056	1	0.54485	0.56044	0.7905	0.35851	0.2048	0.59455	68	0.36021	0.40959	1	51	0.35624	0.15285	0.45833
GO_PURINE_RIBONUCLEOSIDE_BISPHOSPHATE_METABOLIC_PROCESS	20	0.52794	0.8002	1	0.47206	0.2008	0.43156	0.32953	0.21778	0.60607	10	0.38541	0.61439	1	10	0.27366	0.1009	0.38182
GO_PEPTIDYL_CYSTEINE_MODIFICATION	20	0.52189	0.78022	1	0.47811	0.22078	0.45744	0.45016	0.83017	0.93873	8	0.36742	0.48152	1	12	0.50532	0.85814	0.95083
GO_LEUKOCYTE_DIFFERENTIATION	270	0.4543	0.38761	1	0.5457	0.61339	0.8278	0.38812	0.63337	0.85816	153	0.37946	0.70529	1	117	0.39944	0.5015	0.75574
GO_RESPONSE_TO_EXOGENOUS_DSRNA	29	0.51871	0.81618	1	0.48129	0.18482	0.41198	0.42303	0.77822	0.92177	14	0.44118	0.83417	1	15	0.40608	0.55145	0.78595
GO_MORPHOGENESIS_OF_EMBRYONIC_EPITHELIUM	131	0.44578	0.31568	1	0.55422	0.68531	0.88399	0.34706	0.098901	0.47754	73	0.31684	0.06993	0.75409	58	0.3851	0.3966	0.68361
GO_SKELETAL_MUSCLE_CONTRACTION	31	0.40875	0.1958	1	0.59125	0.80519	0.96302	0.32168	0.13387	0.52045	19	0.29775	0.16883	0.90919	12	0.35957	0.31768	0.62954
GO_POSITIVE_REGULATION_OF_HORMONE_METABOLIC_PROCESS	11	0.67085	0.98002	1	0.32915	0.020979	0.1066	0.30759	0.2028	0.59068	3	0.35702	0.5045	1	8	0.28906	0.14486	0.44675
GO_TONGUE_DEVELOPMENT	20	0.34019	0.051948	0.62791	0.65981	0.94905	1	0.27079	0.054945	0.39632	14	0.26226	0.10789	0.82972	5	0.14885	0.037962	0.25091
GO_BONE_GROWTH	20	0.41052	0.28072	1	0.58948	0.72028	0.90743	0.43613	0.77323	0.91983	13	0.42859	0.76324	1	7	0.45013	0.65534	0.84416
GO_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	35	0.46773	0.56244	1	0.53227	0.43856	0.68647	0.29865	0.072927	0.43307	17	0.21159	0.015984	0.52089	18	0.38088	0.42258	0.7043
GO_UV_PROTECTION	12	0.53421	0.78122	1	0.46579	0.21978	0.45601	0.36953	0.45654	0.77833	4	0.15693	0.1029	0.81874	8	0.47583	0.75125	0.90048
GO_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL	109	0.49524	0.85614	1	0.50476	0.14486	0.361	0.40908	0.82917	0.93873	53	0.38256	0.60639	1	56	0.43418	0.7952	0.92154
GO_REGULATION_OF_NITRIC_OXIDE_BIOSYNTHETIC_PROCESS	51	0.66028	1	1	0.33972	0.000999	0.013594	0.32362	0.088911	0.46621	17	0.46627	0.89411	1	34	0.25229	0.001998	0.046393
GO_PHOSPHATIDYLGLYCEROL_METABOLIC_PROCESS	31	0.31259	0.003996	0.13849	0.68741	0.997	1	0.37767	0.48951	0.79541	24	0.356	0.3966	0.99558	7	0.45195	0.66034	0.84495
GO_PYRIMIDINE_NUCLEOSIDE_BIOSYNTHETIC_PROCESS	27	0.41086	0.24575	1	0.58914	0.75524	0.92523	0.3933	0.58741	0.83976	15	0.29351	0.16284	0.89429	12	0.51803	0.88412	0.96119
GO_TRANSLATIONAL_TERMINATION	91	0.44167	0.2967	1	0.55833	0.7043	0.89597	0.43805	0.96004	0.98468	57	0.4583	0.98701	1	34	0.4041	0.56344	0.79253
GO_CYTOKINETIC_PROCESS	14	0.43931	0.42557	1	0.56069	0.57542	0.79893	0.33923	0.2957	0.67651	7	0.21784	0.096903	0.81172	7	0.46061	0.68631	0.86007
GO_ENDOCARDIAL_CUSHION_MORPHOGENESIS	22	0.50367	0.72827	1	0.49633	0.27273	0.51901	0.45564	0.86314	0.95317	11	0.46297	0.84316	1	11	0.4483	0.69331	0.86468
GO_REGULATION_OF_INNATE_IMMUNE_RESPONSE	330	0.45238	0.36563	1	0.54762	0.63536	0.84537	0.40587	0.9031	0.9665	183	0.37844	0.66434	1	147	0.44002	0.95005	0.98653
GO_VESICLE_MEDIATED_TRANSPORT	1152	0.49889	0.999	1	0.50111	0.001998	0.022784	0.36966	0.071928	0.43118	584	0.3761	0.74026	1	568	0.36304	0.003996	0.073233
GO_INTERLEUKIN_1_PRODUCTION	15	0.46411	0.50549	1	0.53589	0.4955	0.73884	0.37627	0.47952	0.79312	9	0.42041	0.68232	1	6	0.31005	0.27173	0.58672
GO_MODULATION_BY_HOST_OF_VIRAL_PROCESS	18	0.65881	0.99401	1	0.34119	0.006993	0.051274	0.36127	0.37463	0.73565	4	0.27749	0.2987	0.95895	14	0.3852	0.42757	0.70651
GO_REGULATION_OF_DNA_REPAIR	68	0.34657	0.005994	0.18725	0.65343	0.995	1	0.4094	0.77223	0.91938	47	0.35077	0.34565	0.97858	21	0.54063	0.97902	0.99884
GO_REGULATION_OF_MEMBRANE_LIPID_DISTRIBUTION	37	0.49352	0.71429	1	0.50648	0.28671	0.53417	0.37092	0.40859	0.75742	19	0.37486	0.54545	1	18	0.36677	0.33866	0.64407
GO_REFLEX	18	0.61339	0.97403	1	0.38661	0.026973	0.12702	0.4036	0.61738	0.85185	7	0.52478	0.91908	1	11	0.32649	0.21778	0.53929
GO_LEUKOCYTE_MEDIATED_IMMUNITY	156	0.48178	0.77423	1	0.51822	0.22677	0.46422	0.34528	0.063936	0.41832	81	0.33444	0.17582	0.91141	75	0.35698	0.12288	0.41568
GO_ORGANOPHOSPHATE_BIOSYNTHETIC_PROCESS	425	0.50906	0.997	1	0.49094	0.003996	0.034622	0.39272	0.75724	0.91679	205	0.38928	0.84216	1	220	0.39593	0.41359	0.69885
GO_NEGATIVE_REGULATION_OF_SERINE_TYPE_PEPTIDASE_ACTIVITY	11	0.32281	0.08991	0.83614	0.67719	0.91109	1	0.37181	0.45355	0.77792	8	0.32448	0.33467	0.97134	3	0.49801	0.7023	0.87027
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	150	0.48113	0.76523	1	0.51887	0.23576	0.47582	0.40642	0.83417	0.94061	76	0.37698	0.58941	1	74	0.43666	0.84815	0.94726
GO_REGULATION_OF_PROTEIN_GLYCOSYLATION	11	0.57316	0.84815	1	0.42684	0.15285	0.37214	0.33571	0.30569	0.68522	4	0.28779	0.31568	0.95895	7	0.3631	0.38262	0.67552
GO_NEGATIVE_REGULATION_OF_FIBROBLAST_PROLIFERATION	27	0.42783	0.34166	1	0.57217	0.65934	0.86253	0.3524	0.28571	0.66555	17	0.3711	0.53546	1	10	0.32061	0.21578	0.53885
GO_REGULATION_OF_MUSCLE_TISSUE_DEVELOPMENT	98	0.50153	0.89111	1	0.49847	0.10989	0.30334	0.39847	0.72428	0.90374	51	0.425	0.89111	1	47	0.36968	0.23377	0.55176
GO_ORGANIC_ACID_BIOSYNTHETIC_PROCESS	250	0.57616	1	1	0.42384	0.000999	0.013594	0.35495	0.083916	0.45231	98	0.37152	0.57443	1	152	0.34427	0.015984	0.16075
GO_NEGATIVE_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION	15	0.47034	0.53546	1	0.52966	0.46553	0.71211	0.38724	0.54446	0.8165	8	0.36993	0.49151	1	7	0.40702	0.52248	0.76906
GO_REGULATION_OF_LEUKOCYTE_MIGRATION	143	0.48902	0.84316	1	0.51098	0.15784	0.37889	0.41878	0.92607	0.97509	78	0.44709	0.98501	1	65	0.38481	0.36963	0.66639
GO_ORGAN_MATURATION	18	0.5035	0.71329	1	0.4965	0.28771	0.53491	0.27113	0.057942	0.40414	9	0.27813	0.19181	0.92502	9	0.26413	0.091908	0.37157
GO_REGULATION_OF_CELLULAR_RESPONSE_TO_HEAT	72	0.4336	0.24476	1	0.5664	0.75624	0.92543	0.47289	0.99101	0.99572	45	0.47207	0.98901	1	27	0.47426	0.9041	0.96922
GO_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE	28	0.62726	0.997	1	0.37274	0.003996	0.034622	0.30266	0.08991	0.46812	9	0.31116	0.2997	0.95895	19	0.29863	0.077922	0.35049
GO_GASTRULATION_WITH_MOUTH_FORMING_SECOND	24	0.54229	0.88911	1	0.45771	0.11189	0.30581	0.39272	0.58142	0.83817	11	0.42977	0.75125	1	13	0.36136	0.31069	0.62433
GO_ENDOCARDIUM_DEVELOPMENT	11	0.53809	0.76124	1	0.46191	0.23976	0.48147	0.36702	0.43956	0.77346	5	0.38753	0.57742	1	6	0.34992	0.38062	0.67306
GO_ENDOTHELIAL_CELL_DIFFERENTIATION	70	0.5753	0.998	1	0.4247	0.002997	0.029348	0.40264	0.71229	0.90044	28	0.44154	0.87612	1	42	0.3767	0.30569	0.61992
GO_NEGATIVE_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION	131	0.51511	0.97003	1	0.48489	0.030969	0.13919	0.36602	0.24675	0.63491	60	0.34089	0.24575	0.95895	71	0.38725	0.37662	0.67135
GO_INSEMINATION	13	0.44942	0.44955	1	0.55058	0.55145	0.7843	0.47219	0.83317	0.94061	7	0.41596	0.69231	1	6	0.5378	0.86613	0.95365
GO_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	12	0.41887	0.35265	1	0.58113	0.64835	0.857	0.26985	0.1049	0.48477	7	0.23507	0.12787	0.84004	5	0.31854	0.31069	0.62433
GO_PHOSPHATIDYLINOSITOL_3_PHOSPHATE_BIOSYNTHETIC_PROCESS	48	0.57468	0.995	1	0.42532	0.005994	0.046082	0.46649	0.96304	0.98593	16	0.42376	0.76923	1	32	0.48785	0.93407	0.9791
GO_CYCLIC_NUCLEOTIDE_CATABOLIC_PROCESS	17	0.46683	0.53147	1	0.53317	0.46953	0.71575	0.36404	0.42557	0.76721	7	0.1472	0.025974	0.57661	10	0.51583	0.88711	0.96194
GO_RESPONSE_TO_EPIDERMAL_GROWTH_FACTOR	28	0.52447	0.84416	1	0.47553	0.15684	0.37792	0.31193	0.11089	0.49338	14	0.36086	0.49251	1	14	0.263	0.046953	0.27691
GO_POSITIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	123	0.46487	0.56643	1	0.53513	0.43457	0.68384	0.38628	0.55445	0.82121	72	0.41576	0.90509	1	51	0.34466	0.087912	0.36336
GO_REGULATION_OF_NUCLEOTIDE_CATABOLIC_PROCESS	32	0.62854	0.997	1	0.37146	0.003996	0.034622	0.40836	0.68631	0.88554	12	0.55392	0.98002	1	20	0.32102	0.14885	0.45371
GO_POSITIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	66	0.5953	1	1	0.4047	0.000999	0.013594	0.39586	0.66034	0.8731	24	0.43137	0.83417	1	42	0.37557	0.3007	0.6157
GO_WNT_SIGNALING_PATHWAY	332	0.44823	0.25874	1	0.55177	0.74226	0.91513	0.3774	0.39361	0.75131	188	0.35884	0.33167	0.97098	144	0.40164	0.54745	0.78595
GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS	179	0.45463	0.42757	1	0.54537	0.57343	0.79765	0.36795	0.25075	0.63963	103	0.37194	0.56044	1	76	0.36253	0.14186	0.4415
GO_POSITIVE_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE	132	0.50041	0.90809	1	0.49959	0.092907	0.27753	0.36831	0.3027	0.6823	69	0.39657	0.78222	1	63	0.33736	0.070929	0.33253
GO_PEPTIDYL_ARGININE_MODIFICATION	17	0.48801	0.62937	1	0.51199	0.37163	0.62445	0.39551	0.58741	0.83976	9	0.40644	0.63237	1	8	0.38321	0.43956	0.71304
GO_SPECIFICATION_OF_ORGAN_IDENTITY	14	0.42851	0.38062	1	0.57149	0.62038	0.83445	0.38175	0.51149	0.80531	7	0.23876	0.13287	0.84004	7	0.52474	0.83616	0.93907
GO_REGULATION_OF_CELLULAR_AMINE_METABOLIC_PROCESS	87	0.48024	0.6953	1	0.51976	0.30569	0.55599	0.43825	0.95005	0.98033	46	0.43141	0.90709	1	41	0.44592	0.82318	0.93132
GO_RRNA_TRANSCRIPTION	17	0.36046	0.12687	0.99612	0.63954	0.87413	1	0.49572	0.93806	0.9774	13	0.48781	0.91409	1	4	0.52145	0.77023	0.91031
GO_POSITIVE_REGULATION_OF_LIPID_TRANSPORT	50	0.55272	0.97203	1	0.44728	0.028971	0.13318	0.35234	0.25475	0.6439	23	0.41064	0.75125	1	27	0.30269	0.061938	0.31757
GO_ANATOMICAL_STRUCTURE_ARRANGEMENT	16	0.41136	0.25974	1	0.58864	0.74126	0.91467	0.38169	0.52847	0.8123	9	0.2928	0.23377	0.95731	7	0.49596	0.77622	0.91121
GO_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	53	0.4411	0.35065	1	0.5589	0.65035	0.85811	0.38954	0.57043	0.83046	32	0.39691	0.7023	1	21	0.37831	0.37762	0.67178
GO_PATHWAY_RESTRICTED_SMAD_PROTEIN_PHOSPHORYLATION	13	0.72182	0.995	1	0.27818	0.005994	0.046082	0.29183	0.14985	0.53307	3	0.42682	0.63137	1	10	0.25133	0.061938	0.31757
GO_SINGLE_ORGANISM_MEMBRANE_BUDDING	71	0.59527	0.999	1	0.40473	0.001998	0.022784	0.34103	0.14985	0.53307	24	0.30713	0.14885	0.87611	47	0.35835	0.16583	0.47665
GO_NEGATIVE_REGULATION_OF_MAPK_CASCADE	143	0.52744	0.99201	1	0.47256	0.008991	0.061266	0.35597	0.16883	0.55724	67	0.37128	0.51149	1	76	0.34246	0.054945	0.30047
GO_SPONGIOTROPHOBLAST_LAYER_DEVELOPMENT	13	0.4969	0.63536	1	0.5031	0.36563	0.61954	0.2413	0.051948	0.39324	7	0.28974	0.26074	0.95895	6	0.18479	0.045954	0.27393
GO_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	252	0.45541	0.43357	1	0.54459	0.56743	0.79505	0.36879	0.25574	0.64496	139	0.34698	0.2038	0.93988	113	0.39561	0.42857	0.70764
GO_HISTONE_H2A_MONOUBIQUITINATION	12	0.54265	0.80819	1	0.45735	0.19281	0.42195	0.51509	0.93107	0.97595	5	0.52047	0.86813	1	7	0.51124	0.8042	0.92423
GO_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION	26	0.47388	0.58142	1	0.52612	0.41958	0.66832	0.49913	0.97502	0.9902	16	0.5506	0.99101	1	10	0.41678	0.5984	0.81184
GO_CELL_DIFFERENTIATION_IN_SPINAL_CORD	50	0.45815	0.51049	1	0.54185	0.49051	0.73386	0.44532	0.93906	0.9774	28	0.43003	0.83317	1	22	0.46479	0.85315	0.94973
GO_MITOTIC_G2_M_TRANSITION_CHECKPOINT	17	0.36034	0.12687	0.99612	0.63966	0.87413	1	0.25225	0.038961	0.35272	11	0.20636	0.03996	0.6658	6	0.33639	0.34166	0.64672
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_8_SECRETION	12	0.3592	0.14486	1	0.6408	0.85614	0.98774	0.40914	0.62238	0.85529	8	0.34565	0.40859	1	4	0.53613	0.7972	0.92251
GO_PYRIMIDINE_NUCLEOBASE_METABOLIC_PROCESS	19	0.64675	0.98901	1	0.35325	0.011988	0.075111	0.44454	0.81119	0.93386	5	0.50228	0.84016	1	14	0.42392	0.59041	0.80892
GO_RNA_METHYLATION	46	0.46549	0.55045	1	0.53451	0.45055	0.69615	0.34242	0.2038	0.5932	24	0.30367	0.13686	0.85193	22	0.38469	0.41758	0.70133
GO_PURINE_CONTAINING_COMPOUND_SALVAGE	16	0.508	0.68831	1	0.492	0.31269	0.56362	0.36353	0.44456	0.776	9	0.44847	0.77423	1	7	0.25432	0.10589	0.39268
GO_INNER_EAR_RECEPTOR_STEREOCILIUM_ORGANIZATION	19	0.48356	0.62038	1	0.51644	0.38062	0.63379	0.38071	0.50549	0.80285	8	0.22555	0.085914	0.80162	11	0.49356	0.83117	0.93726
GO_NEGATIVE_REGULATION_OF_CATION_TRANSMEMBRANE_TRANSPORT	58	0.51365	0.87912	1	0.48635	0.12188	0.32491	0.37978	0.47153	0.78635	28	0.3859	0.5954	1	30	0.37406	0.31568	0.62783
GO_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS	58	0.44552	0.37562	1	0.55448	0.62537	0.83761	0.32728	0.095904	0.47657	35	0.35233	0.38462	0.99279	23	0.28917	0.033966	0.23501
GO_NEGATIVE_REGULATION_OF_CYTOPLASMIC_TRANSPORT	113	0.52586	0.98002	1	0.47414	0.020979	0.1066	0.39873	0.72328	0.90374	49	0.36634	0.5035	1	64	0.42353	0.73626	0.89388
GO_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS	24	0.51338	0.79221	1	0.48662	0.20879	0.44168	0.34037	0.26374	0.6484	14	0.45754	0.87213	1	10	0.17633	0.008991	0.11558
GO_AXON_REGENERATION	22	0.53827	0.84216	1	0.46173	0.15884	0.38005	0.38812	0.54545	0.81662	10	0.41114	0.7033	1	12	0.36895	0.36164	0.66166
GO_MICROTUBULE_BASED_PROCESS	479	0.40051	0.000999	0.053392	0.59949	1	1	0.37165	0.23676	0.62442	297	0.33284	0.022977	0.55647	182	0.43498	0.95305	0.98802
GO_CALCIUM_MEDIATED_SIGNALING	84	0.4981	0.83117	1	0.5019	0.16983	0.39116	0.45598	0.98402	0.99139	47	0.51046	1	1	37	0.38679	0.3996	0.68532
GO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE	11	0.70584	0.99001	1	0.29416	0.010989	0.069939	0.24036	0.062937	0.4167	3	0.36206	0.51349	1	8	0.19472	0.026973	0.20519
GO_SPERM_MOTILITY	37	0.42538	0.26274	1	0.57462	0.73826	0.91402	0.43576	0.85315	0.94804	22	0.40003	0.66733	1	15	0.48817	0.86414	0.9524
GO_NEGATIVE_REGULATION_OF_SEQUENCE_SPECIFIC_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	128	0.50489	0.92308	1	0.49511	0.077922	0.24832	0.38449	0.52947	0.81268	61	0.36448	0.46553	1	67	0.40271	0.51449	0.76364
GO_NEGATIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS	103	0.46919	0.59141	1	0.53081	0.40959	0.65927	0.36391	0.27972	0.66178	55	0.34669	0.31768	0.96107	48	0.38363	0.38561	0.67718
GO_CELLULAR_AMINO_ACID_METABOLIC_PROCESS	315	0.59446	1	1	0.40554	0.000999	0.013594	0.35262	0.051948	0.39324	125	0.42234	0.97403	1	190	0.30676	0.000999	0.030556
GO_POSITIVE_REGULATION_OF_DNA_BINDING	42	0.45863	0.48651	1	0.54137	0.51449	0.75248	0.33353	0.14585	0.52947	22	0.28485	0.091908	0.80971	20	0.38708	0.42657	0.70644
GO_NUCLEOTIDE_TRANSPORT	25	0.53936	0.87013	1	0.46064	0.13087	0.3391	0.34693	0.3007	0.68161	13	0.44774	0.81219	1	12	0.23771	0.041958	0.26135
GO_REGULATION_OF_HAIR_FOLLICLE_DEVELOPMENT	15	0.4286	0.34366	1	0.5714	0.65734	0.86118	0.29372	0.11389	0.49872	9	0.29243	0.23377	0.95731	6	0.29567	0.24176	0.55786
GO_CRISTAE_FORMATION	10	0.58787	0.88212	1	0.41213	0.11888	0.31922	0.42267	0.65135	0.86664	4	0.498	0.78422	1	6	0.37245	0.44755	0.7176
GO_SYNAPTIC_VESICLE_RECYCLING	23	0.53494	0.85714	1	0.46506	0.14386	0.35952	0.32976	0.21678	0.60557	10	0.30959	0.31269	0.95895	13	0.34528	0.24276	0.55842
GO_POSITIVE_REGULATION_OF_NUCLEOSIDE_METABOLIC_PROCESS	21	0.65871	0.996	1	0.34129	0.004995	0.040882	0.47057	0.8971	0.96525	6	0.62899	0.98501	1	15	0.40721	0.55345	0.78595
GO_DORSAL_VENTRAL_PATTERN_FORMATION	87	0.45378	0.42058	1	0.54622	0.58042	0.80185	0.37811	0.45754	0.77854	47	0.33887	0.26274	0.95895	40	0.42422	0.6963	0.86696
GO_REGULATION_OF_VITAMIN_METABOLIC_PROCESS	12	0.34223	0.11389	0.94607	0.65777	0.88711	1	0.17937	0.012987	0.23905	8	0.14788	0.012987	0.47569	4	0.24235	0.14985	0.45426
GO_AEROBIC_RESPIRATION	49	0.66971	1	1	0.33029	0.000999	0.013594	0.28828	0.013986	0.25017	16	0.42992	0.79321	1	33	0.21962	0.000999	0.030556
GO_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	141	0.48973	0.86913	1	0.51027	0.13187	0.34049	0.36608	0.23776	0.62483	72	0.35918	0.4036	1	69	0.37329	0.22478	0.5433
GO_SEQUESTERING_OF_METAL_ION	11	0.61188	0.92108	1	0.38812	0.07992	0.25161	0.48	0.86713	0.95402	2	0.18532	0.23477	0.95731	9	0.54549	0.92408	0.97555
GO_COPPER_ION_TRANSPORT	20	0.55857	0.89311	1	0.44143	0.10789	0.30101	0.33571	0.24575	0.63491	9	0.39206	0.58242	1	11	0.28961	0.12987	0.42696
GO_MEMBRANE_ASSEMBLY	25	0.44599	0.3976	1	0.55401	0.6034	0.82031	0.45811	0.89111	0.9639	13	0.37509	0.56044	1	12	0.54806	0.93606	0.97947
GO_REGULATION_OF_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	27	0.46873	0.56044	1	0.53127	0.44056	0.68766	0.43425	0.81119	0.93386	15	0.43454	0.80519	1	12	0.4339	0.63137	0.82893
GO_LIPID_DIGESTION	19	0.5188	0.76923	1	0.4812	0.23177	0.47054	0.32998	0.23377	0.62169	9	0.33245	0.37463	0.9883	10	0.32776	0.24276	0.55842
