Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
351	GO_RESPONSE_TO_PEPTIDE	384	-0.54792	0.999	1	0.54792	0.001998	0.024415	13.544	0.001998	0.085329	190	9.0975	0.21978	0.92928	194	10.052	0.001998	0.047715
352	GO_REGULATION_OF_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS	39	-4.2329	0.999	1	4.2329	0.001998	0.024415	4.3597	0.20879	0.62875	14	0.34815	0.92308	1	25	5.1847	0.007992	0.1153
353	GO_DNA_DEPENDENT_DNA_REPLICATION	90	6.5725	0.000999	0.054151	-6.5725	1	1	6.1915	0.15984	0.58461	62	6.9546	0.034965	0.63086	28	0.75152	0.92408	0.98093
354	GO_REGULATION_OF_SKELETAL_MUSCLE_CELL_DIFFERENTIATION	15	0.030586	0.68332	1	-0.030586	0.31768	0.58373	3.6549	0.10789	0.51025	8	2.2453	0.34565	0.97272	7	2.95	0.06993	0.33288
355	GO_POSITIVE_REGULATION_OF_CELLULAR_PROTEIN_CATABOLIC_PROCESS	187	2.1493	0.59041	1	-2.1493	0.41059	0.6726	6.1167	0.78521	0.93334	106	4.8413	0.85115	1	81	3.7555	0.55844	0.80318
356	GO_STEROL_HOMEOSTASIS	56	-2.4934	0.99301	1	2.4934	0.007992	0.063159	4.0441	0.44955	0.79527	24	1.5773	0.86414	1	32	3.9839	0.10589	0.40073
357	GO_EMBRYONIC_AXIS_SPECIFICATION	32	-0.63615	0.88511	1	0.63615	0.11588	0.33061	3.9717	0.20979	0.62997	14	3.098	0.26573	0.93616	18	2.5634	0.26074	0.59997
358	GO_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS	76	0.83769	0.68132	1	-0.83769	0.31968	0.58461	5.3487	0.26374	0.67539	44	3.0806	0.73826	1	32	4.6306	0.043956	0.27608
359	GO_POSITIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION	30	4.2578	0.013986	0.30798	-4.2578	0.98701	1	3.509	0.31069	0.70135	23	3.3874	0.34865	0.97272	7	1.124	0.51049	0.77176
360	GO_CELLULAR_RESPONSE_TO_LIPID	432	1.2481	0.95904	1	-1.2481	0.041958	0.18195	14.863	0.000999	0.063997	214	11.835	0.008991	0.47952	218	9.197	0.014985	0.16582
361	GO_SECRETION_BY_CELL	461	-1.9357	1	1	1.9357	0.000999	0.014666	13.145	0.055944	0.41592	230	7.3697	0.89211	1	231	11.216	0.000999	0.033514
362	GO_LIPOPROTEIN_METABOLIC_PROCESS	121	-3.2492	1	1	3.2492	0.000999	0.014666	5.9458	0.42258	0.78204	55	2.1531	0.95704	1	66	6.0852	0.011988	0.14688
363	GO_DISRUPTION_OF_CELLS_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION	12	-1.065	0.86713	1	1.065	0.13387	0.36073	2.9865	0.15285	0.57038	5	1.6273	0.3996	0.99347	7	2.5349	0.12787	0.44671
364	GO_IRON_COORDINATION_ENTITY_TRANSPORT	11	-1.5225	0.92507	1	1.5225	0.075924	0.25517	3.8665	0.052947	0.40481	4	2.0691	0.26374	0.93616	7	3.2828	0.035964	0.25003
365	GO_PHOSPHATIDYLCHOLINE_BIOSYNTHETIC_PROCESS	25	0.56425	0.5964	1	-0.56425	0.4046	0.66665	3.7888	0.16583	0.59269	15	2.2077	0.52747	1	10	3.2867	0.057942	0.30963
366	GO_KERATAN_SULFATE_METABOLIC_PROCESS	31	0.19132	0.69431	1	-0.19132	0.30669	0.57023	2.0594	0.75325	0.91991	15	1.7659	0.65335	1	16	1.1567	0.67932	0.8712
367	GO_REGULATION_OF_COAGULATION	86	-7.4318	1	1	7.4318	0.000999	0.014666	7.7655	0.015984	0.25406	25	1.7376	0.82418	1	61	8.1081	0.000999	0.033514
368	GO_MEMBRANE_BIOGENESIS	30	0.74384	0.53546	1	-0.74384	0.46553	0.72603	1.5516	0.84016	0.95387	15	2.0927	0.56244	1	15	0.10168	0.90509	0.97465
369	GO_REGULATION_OF_EPIDERMIS_DEVELOPMENT	60	3.5733	0.060939	0.71769	-3.5733	0.94006	1	3.8879	0.55445	0.84051	35	4.4844	0.22078	0.93071	25	0.71703	0.89411	0.97457
370	GO_FORMATION_OF_PRIMARY_GERM_LAYER	108	0.56752	0.78821	1	-0.56752	0.21279	0.46303	7.2296	0.086913	0.48351	52	6.0845	0.088911	0.76421	56	4.1767	0.21678	0.55168
371	GO_NEGATIVE_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION	52	1.265	0.50749	1	-1.265	0.49351	0.75002	2.8855	0.72827	0.90643	28	2.5247	0.68232	1	24	1.5203	0.7003	0.88153
372	GO_ENERGY_RESERVE_METABOLIC_PROCESS	67	-5.1717	1	1	5.1717	0.000999	0.014666	4.1409	0.52947	0.82926	22	-0.1419	0.98801	1	45	5.1519	0.025974	0.21486
373	GO_GLYCOLIPID_BIOSYNTHETIC_PROCESS	59	-2.2975	0.99301	1	2.2975	0.007992	0.063159	4.3002	0.40759	0.77071	25	1.5345	0.86913	1	34	4.3489	0.068931	0.33224
374	GO_REGULATION_OF_ACTIN_NUCLEATION	26	1.3763	0.37263	1	-1.3763	0.62837	0.85043	1.3364	0.85814	0.95742	19	0.47071	0.95405	1	7	1.8002	0.30669	0.63518
375	GO_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION	12	0.31825	0.58841	1	-0.31825	0.41259	0.6743	1.8115	0.49451	0.81575	7	1.036	0.64935	1	5	1.5806	0.31069	0.63938
376	GO_EPITHELIAL_CELL_DEVELOPMENT	179	-0.45794	0.97403	1	0.45794	0.026973	0.13925	4.8077	0.96104	0.98793	83	3.4068	0.93107	1	96	3.3972	0.73926	0.90262
377	GO_AMIDE_TRANSPORT	90	1.997	0.43257	1	-1.997	0.56843	0.80466	5.5631	0.3017	0.69742	49	4.9653	0.26474	0.93616	41	2.8142	0.48352	0.76007
378	GO_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION	91	2.8	0.21978	1	-2.8	0.78122	0.95187	7.2807	0.038961	0.38398	57	5.5497	0.19181	0.92129	34	4.7255	0.038961	0.26058
379	GO_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS	76	-1.8556	0.99201	1	1.8556	0.008991	0.06752	5.9912	0.12687	0.53006	34	3.2392	0.56843	1	42	5.1448	0.02997	0.2295
380	GO_PROTEIN_LOCALIZATION_TO_KINETOCHORE	9	4.018	0.016983	0.34856	-4.018	0.98402	1	3.6664	0.045954	0.39978	8	3.5	0.08991	0.76421	1	1.0997	0.29071	0.62536
381	GO_NEGATIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION	40	-0.5287	0.87413	1	0.5287	0.12687	0.34946	4.2137	0.24975	0.66874	19	2.4199	0.54446	1	21	3.5137	0.092907	0.37871
382	GO_PHOTOPERIODISM	23	-0.66116	0.83417	1	0.66116	0.16683	0.40446	2.9708	0.34066	0.72377	12	1.2209	0.73127	1	11	3.0206	0.11289	0.41529
383	GO_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS	73	-3.1174	0.999	1	3.1174	0.001998	0.024415	5.8487	0.11988	0.52038	29	2.7897	0.63536	1	44	5.2686	0.024975	0.20988
384	GO_MESENCHYMAL_TO_EPITHELIAL_TRANSITION	15	-0.43708	0.78422	1	0.43708	0.21678	0.46739	2.8754	0.24975	0.66874	5	2.9717	0.097902	0.77427	10	1.4203	0.48651	0.76308
385	GO_ESTABLISHMENT_OF_ENDOTHELIAL_INTESTINAL_BARRIER	10	-0.89044	0.85215	1	0.89044	0.14885	0.38375	0.69848	0.77123	0.92873	4	-0.17989	0.84815	1	6	1.0486	0.5035	0.76889
386	GO_SALIVARY_GLAND_DEVELOPMENT	31	0.62092	0.61538	1	-0.62092	0.38561	0.65163	5.0172	0.044955	0.39847	14	5.1774	0.016983	0.54254	17	2.0768	0.42757	0.72526
387	GO_CELL_CYCLE_DNA_REPLICATION	11	3.5346	0.023976	0.42772	-3.5346	0.97702	1	3.7864	0.055944	0.41592	9	3.5936	0.090909	0.76421	2	1.2569	0.26573	0.60423
388	GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_ELONGATION_FROM_RNA_POLYMERASE_II_PROMOTER	8	-0.85151	0.80619	1	0.85151	0.19481	0.44021	0.96206	0.67732	0.88818	3	0.54599	0.61538	1	5	0.794	0.55045	0.79765
389	GO_CHROMOSOME_CONDENSATION	26	5.8785	0.000999	0.054151	-5.8785	1	1	4.1879	0.094905	0.49355	22	4.6214	0.082917	0.75483	4	-0.16118	0.7982	0.92948
390	GO_REGULATION_OF_MONOOXYGENASE_ACTIVITY	59	-2.4318	0.996	1	2.4318	0.004995	0.047035	4.1577	0.45654	0.79877	23	2.0879	0.71429	1	36	3.6538	0.19381	0.53058
391	GO_SENSORY_PERCEPTION_OF_MECHANICAL_STIMULUS	142	3.9892	0.091908	0.85954	-3.9892	0.90909	1	6.1441	0.52747	0.82926	76	7.085	0.067932	0.71557	66	1.4093	0.96104	0.99372
392	GO_ESTABLISHMENT_OF_EPITHELIAL_CELL_POLARITY	22	-0.59723	0.82218	1	0.59723	0.17882	0.4205	2.5709	0.46953	0.80347	8	2.9387	0.16983	0.89716	14	1.0014	0.67732	0.8697
393	GO_TOLL_LIKE_RECEPTOR_9_SIGNALING_PATHWAY	14	0.35473	0.57043	1	-0.35473	0.43057	0.69245	3.3054	0.16184	0.58633	6	3.2194	0.088911	0.76421	8	1.5845	0.36064	0.67994
394	GO_EMBRYONIC_DIGIT_MORPHOGENESIS	58	0.61189	0.7013	1	-0.61189	0.2997	0.56317	2.6916	0.85714	0.95742	33	1.3165	0.94406	1	25	2.5871	0.39061	0.70021
395	GO_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY	227	4.0652	0.17383	1	-4.0652	0.82717	0.97499	7.5659	0.57942	0.85448	126	7.5099	0.26074	0.93616	101	2.9546	0.88711	0.9718
396	GO_NITROGEN_CYCLE_METABOLIC_PROCESS	15	-2.5738	0.98501	1	2.5738	0.015984	0.098227	2.5034	0.35564	0.73565	4	0.78435	0.6024	1	11	2.4503	0.23776	0.57594
397	GO_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	44	-0.41079	0.85514	1	0.41079	0.14585	0.37833	3.469	0.49351	0.81575	23	1.6884	0.81419	1	21	3.2544	0.13287	0.45038
398	GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION	66	3.4331	0.084915	0.83688	-3.4331	0.91608	1	5.1228	0.25574	0.6737	42	4.7751	0.26573	0.93616	24	2.1783	0.4995	0.76722
399	GO_NECROPTOTIC_PROCESS	21	-2.727	0.99101	1	2.727	0.00999	0.072449	4.0381	0.11189	0.51443	8	1.4698	0.57343	1	13	3.9793	0.028971	0.22594
400	GO_NEGATIVE_REGULATION_OF_GLIOGENESIS	36	-1.3357	0.94406	1	1.3357	0.056943	0.21887	3.6051	0.35964	0.73829	14	2.2641	0.49451	1	22	2.8055	0.27473	0.6128
401	GO_DENDRITIC_CELL_CHEMOTAXIS	16	-1.2632	0.92208	1	1.2632	0.078921	0.2615	0.54357	0.8961	0.96898	8	-0.63209	0.95305	1	8	1.4008	0.43157	0.72708
402	GO_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	13	2.5485	0.092907	0.85954	-2.5485	0.90809	1	4.4167	0.025974	0.32017	9	3.8713	0.065934	0.71047	4	2.1553	0.17283	0.50521
403	GO_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY	46	1.2621	0.47253	1	-1.2621	0.52847	0.77583	3.4611	0.49151	0.81558	26	2.7919	0.56643	1	20	2.0658	0.47552	0.75565
404	GO_REGULATION_OF_PHOSPHOLIPASE_C_ACTIVITY	39	-3.513	0.998	1	3.513	0.002997	0.032079	3.7864	0.35065	0.73032	17	0.41941	0.94206	1	22	4.6727	0.016983	0.17382
405	GO_REGULATION_OF_DEVELOPMENTAL_GROWTH	279	0.88692	0.93007	1	-0.88692	0.070929	0.24581	11.005	0.030969	0.34824	137	8.4841	0.11389	0.79553	142	7.0926	0.05994	0.31357
406	GO_MEMBRANE_DISASSEMBLY	44	4.0274	0.017982	0.35862	-4.0274	0.98302	1	4.5192	0.1958	0.62339	30	4.3778	0.2018	0.92724	14	1.6033	0.49451	0.76623
407	GO_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	48	-2.2779	0.99301	1	2.2779	0.007992	0.063159	4.857	0.16883	0.59734	19	2.5663	0.50749	1	29	4.1714	0.072927	0.34062
408	GO_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY	27	-3.1319	0.996	1	3.1319	0.004995	0.047035	3.5596	0.22677	0.64699	10	1.1704	0.71229	1	17	3.5884	0.063936	0.32059
409	GO_NEGATIVE_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT	16	-2.6365	0.99301	1	2.6365	0.007992	0.063159	1.1087	0.77722	0.93052	5	-0.83436	0.95704	1	11	1.8997	0.37562	0.68913
410	GO_NEGATIVE_REGULATION_OF_BONE_RESORPTION	11	0.67115	0.47952	1	-0.67115	0.52148	0.7728	-1.0259	0.99201	0.99554	7	-0.59071	0.97203	1	4	-0.91979	0.92008	0.97866
411	GO_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS	255	-2.7848	1	1	2.7848	0.000999	0.014666	10.112	0.081918	0.47838	121	4.7954	0.87912	1	134	9.3923	0.001998	0.047715
412	GO_NADP_METABOLIC_PROCESS	27	0.56958	0.61239	1	-0.56958	0.38861	0.65356	5.1295	0.031968	0.35198	13	4.3274	0.060939	0.68278	14	2.9535	0.13986	0.45616
413	GO_POSITIVE_REGULATION_OF_MRNA_PROCESSING	30	1.2991	0.4046	1	-1.2991	0.5964	0.8254	4.9006	0.050949	0.40374	16	4.2682	0.086913	0.76421	14	2.6108	0.1998	0.53589
414	GO_EPITHELIAL_TUBE_BRANCHING_INVOLVED_IN_LUNG_MORPHOGENESIS	25	-0.16721	0.77922	1	0.16721	0.22178	0.4712	1.7595	0.74026	0.91382	12	1.2167	0.73327	1	13	1.271	0.58442	0.81853
415	GO_DETECTION_OF_MECHANICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	22	2.0616	0.2008	1	-2.0616	0.8002	0.95815	1.9161	0.65634	0.88124	11	3.2671	0.14086	0.84636	11	-0.55726	0.94705	0.98844
416	GO_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	9	0.37927	0.53247	1	-0.37927	0.46853	0.72829	3.2704	0.088911	0.48568	3	3.9101	0.018981	0.54915	6	1.2405	0.44755	0.73697
417	GO_METANEPHRIC_EPITHELIUM_DEVELOPMENT	20	0.3863	0.61339	1	-0.3863	0.38761	0.6524	3.9494	0.1049	0.50877	10	3.2156	0.14386	0.85105	10	2.3696	0.19481	0.53125
418	GO_REGULATION_OF_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	19	-1.1083	0.88911	1	1.1083	0.11189	0.32513	3.1937	0.22877	0.64699	7	2.0318	0.33267	0.96843	12	2.4669	0.22378	0.55937
419	GO_FATTY_ACID_BETA_OXIDATION	51	-9.1965	1	1	9.1965	0.000999	0.014666	8.834	0.000999	0.063997	9	1.7491	0.49351	1	42	8.925	0.000999	0.033514
420	GO_ACTIN_FILAMENT_BASED_PROCESS	430	3.3047	0.62038	1	-3.3047	0.38062	0.64785	10.774	0.46653	0.80183	235	9.2102	0.43457	1	195	5.888	0.54745	0.79659
421	GO_RESPONSE_TO_FLUID_SHEAR_STRESS	33	-3.1634	0.999	1	3.1634	0.001998	0.024415	3.4954	0.34066	0.72377	11	0.55157	0.84615	1	22	3.891	0.071928	0.3382
422	GO_NEGATIVE_REGULATION_OF_MUSCLE_CONTRACTION	21	-0.33645	0.78222	1	0.33645	0.21878	0.46812	1.7502	0.6963	0.89455	7	2.3572	0.24675	0.93479	14	0.47674	0.7982	0.92948
423	GO_TRANSITION_METAL_ION_TRANSPORT	102	2.3364	0.36663	1	-2.3364	0.63437	0.85608	9.7202	0.000999	0.063997	57	7.55	0.010989	0.50454	45	6.1369	0.001998	0.047715
424	GO_POSITIVE_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION	80	-0.38194	0.91508	1	0.38194	0.085914	0.27539	5.8968	0.15784	0.58082	38	4.0393	0.38262	0.98069	42	4.2962	0.1049	0.39945
425	GO_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	117	1.2047	0.67932	1	-1.2047	0.32168	0.58724	7.0191	0.15584	0.57698	64	5.1181	0.36863	0.97699	53	4.8047	0.1029	0.39469
426	GO_PHOSPHATIDYLINOSITOL_BIOSYNTHETIC_PROCESS	118	-1.7807	0.996	1	1.7807	0.004995	0.047035	3.801	0.93606	0.98011	53	1.7783	0.98801	1	65	3.5155	0.51249	0.77395
427	GO_POSITIVE_REGULATION_OF_LIPID_KINASE_ACTIVITY	32	1.8317	0.2957	1	-1.8317	0.70529	0.9009	4.8424	0.067932	0.44808	21	3.2119	0.32867	0.96843	11	3.8213	0.038961	0.26058
428	GO_RESPONSE_TO_CORTICOSTEROID	169	-3.3326	1	1	3.3326	0.000999	0.014666	10.552	0.001998	0.085329	68	6.5842	0.1019	0.78258	101	8.2471	0.001998	0.047715
429	GO_POSITIVE_REGULATION_OF_LEUKOCYTE_DEGRANULATION	18	1.3906	0.31968	1	-1.3906	0.68132	0.88744	1.8754	0.62338	0.8703	12	1.3752	0.69131	1	6	1.3035	0.42158	0.72084
430	GO_SODIUM_ION_TRANSMEMBRANE_TRANSPORT	82	1.3446	0.58841	1	-1.3446	0.41259	0.6743	4.4349	0.6014	0.86252	46	3.0857	0.77223	1	36	3.2053	0.2957	0.62843
431	GO_PROTEIN_UBIQUITINATION_INVOLVED_IN_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	128	1.181	0.71728	1	-1.181	0.28372	0.54328	6.2054	0.38262	0.75089	64	5.5264	0.25175	0.93616	64	3.2494	0.58641	0.82051
432	GO_NEGATIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	23	-2.0759	0.97602	1	2.0759	0.024975	0.13249	2.4384	0.50549	0.82012	7	1.3419	0.54845	1	16	2.0359	0.39461	0.7035
433	GO_CELL_PROJECTION_ASSEMBLY	243	6.6902	0.001998	0.093862	-6.6902	0.999	1	6.7026	0.85415	0.9569	145	8.1246	0.21578	0.92724	98	0.67171	1	1
434	GO_REGULATION_OF_PROTEIN_IMPORT_INTO_NUCLEUS_TRANSLOCATION	21	-0.74859	0.85914	1	0.74859	0.14186	0.37184	3.8701	0.13487	0.54723	8	3.146	0.13387	0.83154	13	2.4509	0.21778	0.5519
435	GO_GLUCOCORTICOID_METABOLIC_PROCESS	15	-2.9038	0.99301	1	2.9038	0.007992	0.063159	2.3396	0.3966	0.76135	5	-0.21542	0.88112	1	10	3.0177	0.088911	0.3747
436	GO_PROTEIN_MATURATION	252	-2.6816	1	1	2.6816	0.000999	0.014666	11.653	0.006993	0.16426	125	6.0099	0.63536	1	127	10.453	0.000999	0.033514
437	GO_SKELETAL_MUSCLE_ADAPTATION	10	0.8622	0.43057	1	-0.8622	0.57043	0.805	0.95046	0.7033	0.89549	5	1.4398	0.46653	1	5	-0.095604	0.8022	0.93182
438	GO_PROTEIN_N_LINKED_GLYCOSYLATION	73	-2.1871	0.98901	1	2.1871	0.011988	0.081097	4.2028	0.56843	0.84953	33	1.5572	0.91309	1	40	4.2632	0.095904	0.38425
439	GO_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS	76	6.3881	0.000999	0.054151	-6.3881	1	1	4.1813	0.5964	0.86208	56	5.0456	0.28671	0.94136	20	-0.292	0.95704	0.99201
440	GO_HINDLIMB_MORPHOGENESIS	37	2.1717	0.22877	1	-2.1717	0.77223	0.94747	2.4282	0.71928	0.90107	24	1.958	0.78322	1	13	1.4362	0.53347	0.7857
441	GO_ESTABLISHMENT_OR_MAINTENANCE_OF_EPITHELIAL_CELL_APICAL_BASAL_POLARITY	27	1.673	0.33067	1	-1.673	0.67033	0.8799	1.5744	0.82517	0.94625	15	2.2483	0.50849	1	12	-0.15212	0.91209	0.97506
442	GO_LOOP_OF_HENLE_DEVELOPMENT	10	1.7568	0.20679	1	-1.7568	0.79421	0.95585	0.40563	0.83217	0.95078	7	1.1036	0.62138	1	3	-0.94517	0.92907	0.98253
443	GO_VESICLE_ORGANIZATION	265	0.37012	0.95005	1	-0.37012	0.050949	0.20555	8.8505	0.37463	0.74537	121	7.884	0.15285	0.87483	144	4.7793	0.62438	0.84213
444	GO_KERATINOCYTE_PROLIFERATION	12	2.6455	0.082917	0.82682	-2.6455	0.91808	1	2.1994	0.36863	0.74182	7	3.401	0.088911	0.76421	5	-0.6168	0.9001	0.97465
445	GO_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	11	-1.7531	0.94106	1	1.7531	0.05994	0.22627	2.072	0.38661	0.75223	4	0.84308	0.57942	1	7	1.9601	0.25974	0.59997
446	GO_INDOLALKYLAMINE_METABOLIC_PROCESS	16	-1.3558	0.93407	1	1.3558	0.066933	0.23881	3.6571	0.1029	0.50528	6	2.1879	0.25974	0.93616	10	2.9311	0.1029	0.39469
447	GO_POSITIVE_REGULATION_OF_BINDING	127	2.7629	0.30769	1	-2.7629	0.69331	0.8928	6.5842	0.28372	0.68742	62	7.2593	0.015984	0.53585	65	2.1135	0.87712	0.96804
448	GO_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	30	-0.52857	0.83816	1	0.52857	0.16284	0.40168	0.53595	0.96803	0.9882	13	-0.10094	0.96803	1	17	0.80024	0.81319	0.93788
449	GO_MALE_GENITALIA_DEVELOPMENT	20	-2.145	0.98701	1	2.145	0.013986	0.090004	1.5588	0.72028	0.90179	8	-0.36501	0.93007	1	12	2.3105	0.25874	0.59994
450	GO_ENDOCARDIAL_CUSHION_DEVELOPMENT	32	-0.86331	0.91508	1	0.86331	0.085914	0.27539	1.1781	0.91109	0.97455	16	-0.17048	0.97303	1	16	1.8366	0.45155	0.7398
451	GO_NEGATIVE_REGULATION_OF_ERBB_SIGNALING_PATHWAY	44	0.19122	0.74326	1	-0.19122	0.25774	0.51403	3.6156	0.45155	0.79714	21	3.1453	0.34366	0.97227	23	1.9954	0.54845	0.79667
452	GO_RESPONSE_TO_DIETARY_EXCESS	17	0.11426	0.64935	1	-0.11426	0.35165	0.61692	2.3043	0.45954	0.79877	6	3.7015	0.033966	0.62652	11	0.13095	0.86414	0.9634
453	GO_REGULATION_OF_MEIOTIC_NUCLEAR_DIVISION	28	2.9026	0.091908	0.85954	-2.9026	0.90909	1	1.4396	0.85315	0.9569	19	2.1316	0.63237	1	9	-0.55804	0.93407	0.98461
454	GO_BRANCH_ELONGATION_OF_AN_EPITHELIUM	17	-1.4749	0.93706	1	1.4749	0.063936	0.23547	2.5773	0.37463	0.74537	7	1.0989	0.62138	1	10	2.4409	0.18681	0.52399
455	GO_POSITIVE_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS	99	-0.68473	0.95105	1	0.68473	0.04995	0.20365	6.8338	0.1029	0.50528	52	3.6156	0.67832	1	47	6.1151	0.005994	0.10014
456	GO_POSITIVE_REGULATION_OF_VACUOLE_ORGANIZATION	12	-1.8221	0.95005	1	1.8221	0.050949	0.20555	2.5576	0.25574	0.6737	2	2.6352	0.072927	0.73301	10	1.6232	0.42058	0.71975
457	GO_NEGATIVE_REGULATION_OF_PLATELET_ACTIVATION	17	-0.95857	0.87712	1	0.95857	0.12388	0.34434	2.1861	0.5025	0.81808	6	1.6462	0.41459	0.99886	11	1.5019	0.50749	0.77012
458	GO_GLUTAMINE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS	24	-1.8741	0.97203	1	1.8741	0.028971	0.14582	2.1153	0.64336	0.87746	9	0.66756	0.80519	1	15	2.1585	0.35265	0.67328
459	GO_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT	117	5.9412	0.006993	0.21271	-5.9412	0.99401	1	7.9304	0.027972	0.33128	74	7.7304	0.012987	0.52245	43	2.9403	0.48252	0.75963
460	GO_NEURON_MATURATION	30	1.1271	0.44356	1	-1.1271	0.55744	0.79732	5.4657	0.01998	0.28347	18	3.7576	0.15784	0.88543	12	4.0399	0.018981	0.18615
461	GO_THYMIC_T_CELL_SELECTION	19	-0.40253	0.77423	1	0.40253	0.22677	0.47465	2.6957	0.36863	0.74182	10	1.2591	0.68432	1	9	2.5896	0.16284	0.492
462	GO_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS	157	1.1762	0.73327	1	-1.1762	0.26773	0.52528	6.2837	0.5954	0.86152	81	5.2504	0.48951	1	76	3.6111	0.55644	0.80303
463	GO_COENZYME_A_METABOLIC_PROCESS	17	-3.1186	0.997	1	3.1186	0.003996	0.040226	3.4526	0.14386	0.55546	5	0.66372	0.68332	1	12	3.681	0.032967	0.24026
464	GO_PROTEIN_LOCALIZATION_TO_CILIUM	25	1.5095	0.34366	1	-1.5095	0.65734	0.87343	0.91334	0.91708	0.97791	14	1.5077	0.72128	1	11	-0.32396	0.93307	0.98405
465	GO_RNA_STABILIZATION	29	2.3838	0.17283	1	-2.3838	0.82817	0.97589	3.2599	0.35864	0.73788	19	2.8993	0.39361	0.98878	10	1.555	0.45055	0.73903
466	GO_ACTIN_MYOSIN_FILAMENT_SLIDING	38	4.2287	0.022977	0.41516	-4.2287	0.97802	1	4.9862	0.094905	0.49355	26	4.5287	0.12388	0.80749	12	2.2069	0.28671	0.62471
467	GO_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	323	1.9843	0.78022	1	-1.9843	0.22078	0.47049	8.4039	0.79021	0.93429	170	6.7839	0.75025	1	153	5.0598	0.59441	0.82352
468	GO_REGULATION_OF_PROTEIN_HOMODIMERIZATION_ACTIVITY	22	-0.47971	0.8002	1	0.47971	0.2008	0.4473	1.784	0.69331	0.89179	10	0.87116	0.78422	1	12	1.6203	0.45355	0.74193
469	GO_REGULATION_OF_HETEROTYPIC_CELL_CELL_ADHESION	18	-3.2558	0.998	1	3.2558	0.002997	0.032079	3.1332	0.23776	0.65746	5	0.68729	0.67532	1	13	3.2606	0.083916	0.36195
470	GO_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS	46	-3.9485	1	1	3.9485	0.000999	0.014666	6.5005	0.008991	0.18634	19	1.6438	0.74925	1	27	7.106	0.000999	0.033514
471	GO_ALPHA_AMINO_ACID_METABOLIC_PROCESS	214	-7.6776	1	1	7.6776	0.000999	0.014666	10.056	0.024975	0.31521	75	3.5877	0.8951	1	139	9.8426	0.000999	0.033514
472	GO_MITOCHONDRIAL_DNA_METABOLIC_PROCESS	10	0.7523	0.46154	1	-0.7523	0.53946	0.78406	-0.78774	0.97602	0.99198	5	0.48295	0.73327	1	5	-1.597	0.97802	0.99689
473	GO_CGMP_METABOLIC_PROCESS	23	-1.927	0.96803	1	1.927	0.032967	0.15767	2.6457	0.43556	0.78779	8	1.2387	0.63337	1	15	2.3715	0.2977	0.6291
