Gene1	Gene2	R	P	FDR
ALDH3A1	ALDH1A1	0.494933973589436	0.000258316759848665	0.00372352723535843
ALDH2	ALDH1A1	0.555438175270108	2.82839417782288e-05	0.000701885425775027
ALDH5A1	ALDH1A1	0.621800720288115	1.43807150942976e-06	6.69126214093495e-05
ALDH6A1	ALDH1A1	0.537478991596639	5.70122887362245e-05	0.00118675579974615
ALDH9A1	ALDH1A1	0.516830732292917	0.000121698760600752	0.002139193769671
ALDH1L1	ALDH1A1	0.780840336134454	2.26125784763553e-11	1.31305155031731e-08
ALDH7A1	ALDH1A1	0.673469387755102	8.35255913322897e-08	7.44436537958773e-06
FPGS	MDH1	-0.411188475390156	0.00301277048195825	0.0232497702558924
MTHFS	MDH1	0.413781512605042	0.00281723468180761	0.022256505700972
GCLM	MDH1	0.375174069627851	0.00726118551730126	0.0445671987909625
GGT7	MDH1	0.405426170468187	0.00349074794367854	0.0258658700088967
GSTM4	MDH1	0.627178871548619	1.09546727777854e-06	5.45835979038e-05
SQSTM1	ME1	0.616134453781513	1.90509346964518e-06	8.25714484651692e-05
NQO1	ME1	0.382280912364946	0.00615001372987356	0.0395903223628076
FASN	ME1	0.372484993997599	0.00772498450099546	0.0465116098214075
GCLC	ME1	0.369891956782713	0.00819634444600359	0.048655222940254
GCLM	ME1	0.38641056422569	0.00557497614711733	0.0366719844687718
PKLR	NNT	0.379975990396158	0.00649292691535042	0.0411695806817008
CAT	NNT	0.549771908763505	3.54387675502998e-05	0.000843069628038712
PNPLA3	NNT	0.403505402160864	0.00366429332545115	0.026806529668734
FPGS	NNT	-0.433565426170468	0.0016588766993535	0.015060791611921
MTHFS	NNT	0.588667466986795	6.91037847944109e-06	0.00022894698962253
ATIC	NNT	-0.416182472989196	0.00264627467209855	0.0211969950949868
GGCT	NNT	-0.368643457382953	0.00843204745246284	0.0495431720326693
GSTK1	NNT	0.427226890756303	0.0019724433698538	0.0171450846764215
MTHFD1	NNT	0.368547418967587	0.00845041911285604	0.0496050576494926
ALDH2	NNT	0.410036014405762	0.00310345582530003	0.0237468784310745
ALDH5A1	NNT	0.515870348139256	0.000125919192300428	0.00218905672768436
ALDH6A1	NNT	0.428571428571429	0.00190184395789483	0.0167383429284541
ALDH9A1	NNT	0.496758703481393	0.00024307993710293	0.00358872748605491
ALDH7A1	NNT	0.394285714285714	0.00460735792776568	0.0319335826581612
MDH1	NNT	0.448067226890756	0.00110225908544503	0.0111601527883139
PKM	H6PD	-0.374309723889556	0.00740755222469058	0.045115486504179
PKLR	H6PD	0.446626650660264	0.00114886456379359	0.0115580524001365
CAT	H6PD	0.487154861944778	0.000333480880628567	0.00448039705438975
GGH	H6PD	0.407923169267707	0.00327598664180817	0.0248268784064217
GCLC	H6PD	0.491380552220888	0.000290500756476852	0.00401373097595092
GGCT	H6PD	-0.376038415366146	0.00711733786534241	0.0439400136701334
GSTA4	H6PD	0.472460984393757	0.000531522506889148	0.00641884431983689
MTHFD1	H6PD	0.430876350540216	0.00178602947841222	0.0159632691234358
ALDH3A2	H6PD	0.453061224489796	0.000953510564916993	0.00995194850938093
ALDH3A1	H6PD	0.459783913565426	0.000781732715587014	0.00855848550905644
ALDH2	H6PD	0.369027611044418	0.00835890620423063	0.0492047985677874
GAPDH	H6PD	-0.435582232893157	0.00156887009461526	0.0145355929117502
ALDH5A1	H6PD	0.500888355342137	0.000211565042250506	0.00324160674905859
ALDH6A1	H6PD	0.441824729891957	0.00131721718413491	0.0127647019007745
ALDH9A1	H6PD	0.422617046818727	0.00223250935454766	0.018811343802367
ALDH1L1	H6PD	0.440768307322929	0.00135708717486693	0.0129722774056767
ALDH1A1	H6PD	0.518655462184874	0.000114033635543187	0.00205001376624229
CAT	IDH3G	-0.531332533013205	7.18188255461882e-05	0.00142466936694758
FPGS	IDH3G	0.405330132052821	0.00349925006576202	0.0258985431767743
MTHFS	IDH3G	-0.393805522208884	0.0046618338461899	0.0321702121905013
GPX4	IDH3G	0.434621848739496	0.00161117266744615	0.0147333824271665
ALDH2	IDH3G	-0.418295318127251	0.00250349148898033	0.020494300313412
GAPDH	IDH3G	0.46391356542617	0.000690538787839312	0.00774774725079285
ALDH5A1	IDH3G	-0.450180072028812	0.00103696350003002	0.0106179693012783
ALDH6A1	IDH3G	-0.388523409363746	0.00529936560514699	0.0354861222744658
ALDH1B1	IDH3G	-0.435102040816327	0.00158989600565573	0.0146021218052097
ALDH7A1	IDH3G	-0.390540216086435	0.00504747277144801	0.0342340918517932
NNT	IDH3G	-0.387082833133253	0.00548595427650422	0.0363509095934227
ATIC	IDH3B	0.387851140456182	0.00538573819089239	0.035874685549439
GSS	IDH3B	0.379015606242497	0.00664064957595079	0.0418546120683432
GLRX3	IDH3B	0.478895558223289	0.000434492413351251	0.0054230137903091
GGT7	IDH3B	0.523169267707083	9.69279587417216e-05	0.00180932189651214
ACSS2	IDH1	0.476590636254502	0.000467236727452303	0.00572998839402746
SQSTM1	IDH1	0.413013205282113	0.00287396683997909	0.0225358886782995
PKLR	IDH1	0.451236494597839	0.00100563347722504	0.0103811560259055
CAT	IDH1	0.445666266506603	0.00118090654455982	0.0118240136297066
GGH	IDH1	0.388043217286915	0.00536093563147233	0.035747102925139
GCLC	IDH1	0.630732292917167	9.12599512403744e-07	4.65720138265395e-05
GCLM	IDH1	0.472749099639856	0.000526791233181001	0.00637387174678657
GSTA4	IDH1	0.427803121248499	0.00194190623541735	0.0169729042233715
MTHFD1	IDH1	0.435294117647059	0.0015814556947662	0.0145668873893457
ALDH5A1	IDH1	0.423865546218487	0.00215923149425734	0.0183158403427084
ALDH6A1	IDH1	0.491572629051621	0.000288672216741226	0.003997194283454
ALDH9A1	IDH1	0.53546218487395	6.15295845558528e-05	0.00124395914079692
ALDH1L1	IDH1	0.37344537815126	0.00755647420146222	0.0457145016700315
ALDH1A1	IDH1	0.420408163265306	0.00236757343932892	0.0196356549463609
ME1	IDH1	0.374309723889556	0.00740755222469058	0.045115486504179
SQSTM1	PGD	0.392941176470588	0.00476131441281957	0.0326785223474211
PKM	PGD	0.458727490996399	0.000806735376096768	0.00878661180712624
PCSK9	PGD	0.376422569027611	0.00705420477393393	0.0436780898331251
GPX1	PGD	0.382569027611044	0.00610828016230935	0.039361707603965
GSS	PGD	0.482737094837935	0.000384499281380846	0.00491537667187473
GSR	PGD	0.471884753901561	0.000541100206478351	0.00648500398976327
GGCT	PGD	0.399567827130852	0.00404396590570499	0.0288503001705763
GSTO1	PGD	-0.387178871548619	0.00547333880980583	0.0363434291589205
GAPDH	PGD	0.45469387755102	0.000908941586169165	0.00963447631034921
ME1	PGD	0.540552220888355	5.07106268599067e-05	0.00110654085092927
NQO1	G6PD	0.391212484993998	0.00496586967553325	0.0337529788472335
PFKP	G6PD	0.485714285714286	0.000349400035560832	0.00460625713547697
PKM	G6PD	0.733781512605042	1.34248656635805e-09	3.53968957996405e-07
CAT	G6PD	-0.681536614645858	5.08668551724156e-08	4.95208399278532e-06
MTHFS	G6PD	-0.673469387755102	8.35255913322897e-08	7.44436537958773e-06
ATIC	G6PD	0.719279711884754	3.99280697394033e-09	7.79496405556301e-07
GSS	G6PD	0.494645858343337	0.000260800271804307	0.00373235341962583
GSR	G6PD	0.64984393757503	3.28070799859859e-07	2.11840002195223e-05
GGCT	G6PD	0.604321728691477	3.36502706077546e-06	0.000125999356453178
GGT1	G6PD	0.394861944777911	0.00454272414375723	0.0316241566355289
GLRX3	G6PD	0.593661464585834	5.51550583627325e-06	0.000187645811462028
GSTK1	G6PD	-0.415510204081633	0.00269319270858936	0.0214102053517004
MTHFD1	G6PD	-0.704009603841537	1.17226457430064e-08	1.55560617972246e-06
ALDH3A2	G6PD	-0.458631452581032	0.000809043581470936	0.00879661131193829
ALDH2	G6PD	-0.754237695078031	2.54494647577985e-10	1.07362808658233e-07
GAPDH	G6PD	0.659639855942377	1.88783235488543e-07	1.3575230842858e-05
ALDH5A1	G6PD	-0.694981992797119	2.14780264684578e-08	2.56439531117737e-06
ALDH8A1	G6PD	-0.426554621848739	0.0020086087586626	0.0173877923732106
ALDH6A1	G6PD	-0.706602641056423	9.81027925561762e-09	1.42028187949899e-06
ALDH9A1	G6PD	-0.546794717887155	3.98319127310476e-05	0.00092328331048377
ALDH1L1	G6PD	-0.485906362545018	0.000347238466895217	0.0045969142646714
ALDH7A1	G6PD	-0.613061224489796	2.21392694887967e-06	9.4025031761816e-05
NNT	G6PD	-0.425690276110444	0.00205597209161645	0.0177250563974781
IDH3G	G6PD	0.480432172869148	0.000413830186493769	0.0052061976543391
PGD	G6PD	0.56436974789916	1.96558753495779e-05	0.000526550026951263
ATIC	IDH2	-0.380456182472989	0.00642014471563668	0.0407898351009527
GSTO1	IDH2	-0.386698679471789	0.00553667057475837	0.0365339430626392
PKM	NUDT1	0.635342136854742	7.17597065547082e-07	3.88115746220678e-05
CAT	NUDT1	-0.696998799519808	1.87965505382692e-08	2.28739561165707e-06
MTHFS	NUDT1	-0.550828331332533	3.39901711519097e-05	0.000814734102459412
ATIC	NUDT1	0.677310924369748	6.60834307275593e-08	6.14964631829405e-06
GPX7	NUDT1	0.395534213685474	0.00446832416231535	0.0312437075128525
GPX4	NUDT1	0.424153661464586	0.00214262746256377	0.018223852934279
GPX3	NUDT1	-0.369699879951981	0.00823223059977574	0.0488224510172267
GCLC	NUDT1	-0.496662665066026	0.000243861064950002	0.00358872748605491
GSS	NUDT1	0.438271308523409	0.00145564034082035	0.0137072798760583
GSR	NUDT1	0.541128451380552	4.96027453524839e-05	0.00108988254371708
GGCT	NUDT1	0.801392557022809	2.73514544346654e-12	2.41630064105417e-09
GLRX3	NUDT1	0.597695078031212	4.58451482421296e-06	0.000160280717169169
MTHFD1	NUDT1	-0.765666266506603	9.35242994160035e-11	4.93184805587058e-08
ALDH3A2	NUDT1	-0.407731092436975	0.00329208288030447	0.0248595470961416
ALDH2	NUDT1	-0.709099639855942	8.24924262232685e-09	1.24288588843058e-06
GAPDH	NUDT1	0.609315726290516	2.65310914260297e-06	0.000106935507352813
ALDH5A1	NUDT1	-0.645138055222089	4.24845281177255e-07	2.58502013393238e-05
ALDH8A1	NUDT1	-0.494453781512605	0.000262467963295432	0.00373235341962583
ALDH6A1	NUDT1	-0.69046818727491	2.88357404620854e-08	3.14607871800131e-06
ALDH9A1	NUDT1	-0.513181272509004	0.00013845661787304	0.00236159967089109
ALDH1L1	NUDT1	-0.510396158463385	0.000152632324301072	0.00251525351087808
ALDH7A1	NUDT1	-0.537094837935174	5.78485484048485e-05	0.00119239613780417
ALDH1A1	NUDT1	-0.379207683073229	0.00661087320746345	0.0417084802161802
NNT	NUDT1	-0.432124849939976	0.00172595400242104	0.0155581722611401
H6PD	NUDT1	-0.40187274909964	0.00381773232871718	0.0276414304074626
IDH3G	NUDT1	0.454309723889556	0.000919256840340443	0.00969509547612388
IDH3B	NUDT1	0.43452581032413	0.00161545831633014	0.0147512557369944
PGD	NUDT1	0.377767106842737	0.00683705674000779	0.0427518725798115
G6PD	NUDT1	0.734933973589436	1.22738796903832e-09	3.53041412185204e-07
ACSS2	PCYOX1	0.376518607442977	0.00703849777649057	0.0436235200094342
PKLR	PCYOX1	0.510972388955582	0.000149595309917094	0.00248461711589337
CAT	PCYOX1	0.70391356542617	1.17997940307646e-08	1.55560617972246e-06
MTHFS	PCYOX1	0.375366146458583	0.00722900294397144	0.0444127481839333
GCLC	PCYOX1	0.490996398559424	0.000294189376935039	0.0040558396018408
GGT7	PCYOX1	0.400720288115246	0.0039294178685858	0.0282560866731943
GSTM4	PCYOX1	0.382569027611044	0.00610828016230935	0.039361707603965
MTHFD1	PCYOX1	0.374501800720288	0.00737480674485269	0.0450461168739651
ALDH3A2	PCYOX1	0.411860744297719	0.00296095840430222	0.022961942135324
GAPDH	PCYOX1	-0.486290516206483	0.00034295161246467	0.00455923908335385
ALDH5A1	PCYOX1	0.621608643457383	1.45197866019409e-06	6.70665763628334e-05
ALDH6A1	PCYOX1	0.499447779111645	0.000222109802325843	0.00337052956623006
ALDH9A1	PCYOX1	0.565906362545018	1.84432856991101e-05	0.000505234250666532
ALDH7A1	PCYOX1	0.466986794717887	0.000629011383013189	0.00723706187583175
ALDH1A1	PCYOX1	0.407442977190876	0.00331635800483232	0.0248943220101767
NNT	PCYOX1	0.539879951980792	5.20318186101321e-05	0.00112087944462998
IDH3G	PCYOX1	-0.443169267707083	0.00126798840890729	0.0124593643657847
IDH1	PCYOX1	0.424249699879952	0.00213711802384031	0.0182014574089657
G6PD	PCYOX1	-0.408787515006002	0.00320440928578503	0.0243427394483165
NUDT1	PCYOX1	-0.370372148859544	0.00810722146299447	0.04839858246965
PFKP	PGM1	-0.415606242496999	0.002686445397869	0.021383429531717
PKM	PGM1	-0.577527010804322	1.12761365291814e-05	0.000344712038437969
PKLR	PGM1	0.494549819927971	0.000261632911738197	0.00373235341962583
CAT	PGM1	0.589147659063625	6.76328372151147e-06	0.000225252944156445
MTHFS	PGM1	0.517983193277311	0.000116804808024895	0.0020704224795001
GCLC	PGM1	0.599135654261705	4.28896319792926e-06	0.000151623235287689
GGCT	PGM1	-0.391980792316927	0.00487402534446546	0.0332358107540705
GGT1	PGM1	-0.484081632653061	0.000368271099923545	0.00478525568853428
GSTA1	PGM1	0.513085234093637	0.000138924731916568	0.00236321425690333
GSTA2	PGM1	0.460360144057623	0.000768390394024543	0.00847103556339252
MTHFD1	PGM1	0.634669867947179	7.43382635004508e-07	3.98654687653265e-05
ALDH3A2	PGM1	0.417046818727491	0.00258701498862024	0.0208809066938634
ALDH2	PGM1	0.612100840336134	2.31959189633812e-06	9.72077981458785e-05
ALDH5A1	PGM1	0.548331332533013	3.75056329793289e-05	0.000882288644956108
ALDH6A1	PGM1	0.714189675870348	5.76151126807645e-09	9.85374143361831e-07
ALDH9A1	PGM1	0.666458583433373	1.2695883455649e-07	9.90093536885242e-06
ALDH1L1	PGM1	0.523361344537815	9.62550167278309e-05	0.00180207617116483
ALDH7A1	PGM1	0.610276110444178	2.53337583555613e-06	0.000103427111531608
ALDH1A1	PGM1	0.47812725090036	0.00044516918410098	0.00549128771343275
H6PD	PGM1	0.392845138055222	0.00477248179542	0.0327196801748838
IDH1	PGM1	0.521440576230492	0.000103180765968824	0.00189254460014702
G6PD	PGM1	-0.464393757503001	0.000680581618838882	0.00770433002506699
NUDT1	PGM1	-0.430204081632653	0.00181914244416514	0.0161452081159566
HIF1A	PRPS2	0.55563025210084	2.80665282890169e-05	0.000699232248082279
NFE2L2	PRPS2	0.457959183673469	0.000825367808962474	0.00889766183154094
PFKP	PRPS2	0.377094837935174	0.00694489276122567	0.0432126660698486
GSR	PRPS2	0.427611044417767	0.00195203826300538	0.0170379284528249
NFE2L2	GPI	-0.466314525810324	0.00064203199921975	0.00734679654803359
GGH	GPI	-0.374981992797119	0.00729349248696742	0.0446788194167762
MTHFD1	GPI	-0.407250900360144	0.00333262897205211	0.0249868200653386
ALDH3A2	GPI	-0.421176470588235	0.00231979500174484	0.0193153457513702
ALDH3A1	GPI	-0.468523409363745	0.000600138524618821	0.00698102313196305
GAPDH	GPI	0.493301320528211	0.000272678962913497	0.00384301219892341
NUDT1	GPI	0.369123649459784	0.00834070697434153	0.0491433833646491
ACSS2	ALDOC	0.400240096038415	0.00397679483442648	0.028564310683599
PFKP	ALDOC	-0.379879951980792	0.00650756926556251	0.0412211194319115
PFKL	ALDOC	0.442689075630252	0.00128537806953499	0.0125716729892078
PKLR	ALDOC	0.391116446578631	0.00497745608043654	0.0337954314130927
PNPLA3	ALDOC	0.51327731092437	0.000137989942293304	0.00236000095900548
PCSK9	ALDOC	0.546890756302521	3.96827255371157e-05	0.000923206938231133
IDH1	ALDOC	0.416758703481393	0.00260663636865921	0.0209590787050514
ACSS2	PGLS	-0.399663865546218	0.00403430940888549	0.0288138938368255
PKM	PGLS	0.495126050420168	0.000256673030093024	0.00371676644034018
PKLR	PGLS	-0.491860744297719	0.000285948970426997	0.00397689029640008
CAT	PGLS	-0.693733493397359	2.33137744665157e-08	2.73202897822429e-06
PNPLA3	PGLS	-0.370180072028812	0.00814276936418512	0.0485192509760484
MTHFS	PGLS	-0.539015606242497	5.37768760446866e-05	0.00113812732980193
ATIC	PGLS	0.379207683073229	0.00661087320746345	0.0417084802161802
GPX4	PGLS	0.407731092436975	0.00329208288030447	0.0248595470961416
GCLC	PGLS	-0.553613445378151	3.04280307075189e-05	0.000743430804313434
GGCT	PGLS	0.391980792316927	0.00487402534446546	0.0332358107540705
GGT1	PGLS	0.377959183673469	0.0068065152371406	0.0426451766540849
MTHFD1	PGLS	-0.49906362545018	0.000225001252391888	0.00339001886937111
GLUD1	PGLS	-0.375846338535414	0.00714908815534088	0.0440930115467808
ALDH3A2	PGLS	-0.463625450180072	0.000696575809782773	0.00778786523728868
ALDH2	PGLS	-0.53968787515006	5.2415058579669e-05	0.00112087944462998
GAPDH	PGLS	0.469579831932773	0.000580986912130044	0.00684634111724193
ALDH5A1	PGLS	-0.584153661464586	8.44523377807604e-06	0.000265877807699827
ALDH8A1	PGLS	-0.431644657863145	0.00174884368338457	0.0157197199267863
ALDH6A1	PGLS	-0.672124849939976	9.05880868096176e-08	7.6432188444168e-06
ALDH9A1	PGLS	-0.567058823529412	1.75795199903739e-05	0.000487908782890728
ALDH7A1	PGLS	-0.502713085234094	0.000198862141333578	0.00308431281950706
ALDH1A1	PGLS	-0.407442977190876	0.00331635800483232	0.0248943220101767
NNT	PGLS	-0.545546218487395	4.18187984654317e-05	0.000962288569779097
IDH3G	PGLS	0.469579831932773	0.000580986912130044	0.00684634111724193
IDH1	PGLS	-0.52124849939976	0.00010389779757114	0.00189471257357398
G6PD	PGLS	0.491956782713085	0.000285046412041634	0.0039730698136552
NUDT1	PGLS	0.449507803121248	0.0010573532260727	0.0107571241392091
PCYOX1	PGLS	-0.600672268907563	3.99324739230877e-06	0.000142764234454971
PGM1	PGLS	-0.596350540216086	4.87728914810859e-06	0.000169222441111259
PKM	ALDOB	-0.493973589435774	0.000266679613269094	0.00377527649388552
CAT	ALDOB	0.443937575030012	0.0012406019681348	0.012209221235392
MTHFS	ALDOB	0.621032412965186	1.49445449748598e-06	6.80353097848291e-05
ATIC	ALDOB	-0.672893157262905	8.64867482075482e-08	7.60122420357451e-06
GSS	ALDOB	-0.624297719087635	1.2681997114683e-06	6.12608227035984e-05
GSR	ALDOB	-0.466506602641056	0.000638287284032035	0.00731717741549768
GGT1	ALDOB	-0.404561824729892	0.00356792635394831	0.0262838625934632
GLRX3	ALDOB	-0.459303721488595	0.000793009932261057	0.00865201181266891
GLRX	ALDOB	0.498199279711885	0.000231632450061303	0.00344887092703042
GSTK1	ALDOB	0.543817527010804	4.47202831315163e-05	0.00101067839877227
GSTA1	ALDOB	0.538343337334934	5.51710679257411e-05	0.0011560348272652
GSTA2	ALDOB	0.386698679471789	0.00553667057475837	0.0365339430626392
MTHFD1	ALDOB	0.445090036014406	0.00120051318166237	0.0119824091696521
ALDH18A1	ALDOB	-0.398415366146459	0.00416143800195989	0.0295550838118992
ALDH2	ALDOB	0.541416566626651	4.90571716684762e-05	0.00108924134146708
ALDH5A1	ALDOB	0.450372148859544	0.00103120291946346	0.0105760973652589
ALDH8A1	ALDOB	0.494453781512605	0.000262467963295432	0.00373235341962583
ALDH6A1	ALDOB	0.549579831932773	3.57081657682556e-05	0.000846296902552516
ALDH9A1	ALDOB	0.404081632653061	0.00361144929471058	0.0265118922702187
ALDH7A1	ALDOB	0.592701080432173	5.76159470710991e-06	0.000193932826098891
NNT	ALDOB	0.507515006002401	0.000168677173066012	0.00274393097985019
G6PD	ALDOB	-0.623337334933974	1.3311939504046e-06	6.33368069034608e-05
NUDT1	ALDOB	-0.494933973589436	0.000258316759848665	0.00372352723535843
PGM1	ALDOB	0.379495798319328	0.00656642658786755	0.0415108366114144
PRPS2	PRPS1	0.417430972388956	0.00256105656151107	0.0207773922067205
PFKP	ALDOA	0.633805522208884	7.7780510610026e-07	4.13609303479197e-05
PKM	ALDOA	0.751164465786315	3.30057758901603e-10	1.30537843645584e-07
PKLR	ALDOA	-0.453253301320528	0.000948167372967657	0.0099173605556022
CAT	ALDOA	-0.679039615846339	5.94047739888026e-08	5.69565772425974e-06
GGH	ALDOA	-0.396494597839136	0.00436389315558783	0.0306830176539553
MTHFS	ALDOA	-0.4831212484994	0.000379797893351963	0.00490481850843107
ATIC	ALDOA	0.495606242496999	0.000252605155315777	0.00369165224673958
AMT	ALDOA	-0.38218487394958	0.00616398005132757	0.0395996606749247
GSR	ALDOA	0.568883553421369	1.62878628404695e-05	0.000462195498002201
GGCT	ALDOA	0.417527010804322	0.00255460309443523	0.0207516410546677
GLRX3	ALDOA	0.454789915966387	0.000906379051731632	0.00962343395865397
MTHFD1	ALDOA	-0.563217286914766	2.0613073353104e-05	0.000539006314786952
GLUD1	ALDOA	-0.540744297719088	5.03388361852153e-05	0.00110222891134963
ALDH3A2	ALDOA	-0.473229291716687	0.000518990137316377	0.00629151262248666
ALDH2	ALDOA	-0.600960384153661	3.93995121683588e-06	0.000141659155114417
GAPDH	ALDOA	0.833661464585834	5.72875080706581e-14	1.81257675535562e-10
ALDH5A1	ALDOA	-0.710252100840336	7.61046248243247e-09	1.20397516472082e-06
ALDH8A1	ALDOA	-0.50578631452581	0.000179026392387982	0.00285583504782461
ALDH6A1	ALDOA	-0.619111644657863	1.64453512319085e-06	7.27735542625993e-05
ALDH1B1	ALDOA	-0.491956782713085	0.000285046412041634	0.0039730698136552
ALDH9A1	ALDOA	-0.537094837935174	5.78485484048485e-05	0.00119239613780417
ALDH1L1	ALDOA	-0.441344537815126	0.00133520832889289	0.0128560452822724
ALDH7A1	ALDOA	-0.539783913565426	5.22231161825815e-05	0.00112087944462998
H6PD	ALDOA	-0.381992797118848	0.00619199566437301	0.0396990360325759
IDH3G	ALDOA	0.533349339735894	6.66117949972289e-05	0.00133392227450147
PGD	ALDOA	0.473517406962785	0.000514359657731056	0.0062473472439964
G6PD	ALDOA	0.801584633853541	2.67874611381558e-12	2.41630064105417e-09
NUDT1	ALDOA	0.601152460984394	3.9047877515852e-06	0.000141197125097321
PCYOX1	ALDOA	-0.510492196878751	0.000152122286085632	0.0025133938024801
PGM1	ALDOA	-0.453349339735894	0.000945505857961493	0.0099058958099012
GPI	ALDOA	0.45296518607443	0.000956192271444944	0.00995194850938093
PGLS	ALDOA	0.564177671068427	1.98125087984558e-05	0.000526550026951263
ALDOB	ALDOA	-0.416182472989196	0.00264627467209855	0.0211969950949868
PFKP	RPIA	0.380264105642257	0.00644917187127492	0.0409331590786637
PKM	RPIA	0.648883553421368	3.45967385406709e-07	2.18928161485366e-05
CAT	RPIA	-0.503577430972389	0.000193090531722673	0.00301200689605947
MTHFS	RPIA	-0.578487394957983	1.08176879582977e-05	0.000333923558049308
ATIC	RPIA	0.692100840336135	2.59371513156026e-08	2.93089809866309e-06
GART	RPIA	0.468715486194478	0.000596614672056628	0.00698102313196305
GSS	RPIA	0.461608643457383	0.000740181619200975	0.00818858266836323
GSR	RPIA	0.587899159663866	7.15190164046753e-06	0.000233284709179786
GGCT	RPIA	0.512797118847539	0.000140337744578112	0.00237448461949276
GLRX3	RPIA	0.469099639855942	0.000589622838313986	0.00693519204619127
GSTO1	RPIA	-0.483601440576231	0.000373994317657722	0.00483974650743981
GLRX	RPIA	-0.449987995198079	0.0010427528894863	0.0106428069107569
GSTK1	RPIA	-0.487827130852341	0.000326279220371095	0.00439296788618785
GSTA1	RPIA	-0.432412965186074	0.00171234856492264	0.0155017764217889
MTHFD1	RPIA	-0.616806722689076	1.8431084489734e-06	8.04357949317493e-05
ALDH18A1	RPIA	0.506458583433373	0.000174934924615844	0.00282394949737005
ALDH2	RPIA	-0.725426170468187	2.53681320394605e-09	5.73319784091808e-07
ALDH5A1	RPIA	-0.518367346938776	0.000115213847508677	0.00206536324939068
ALDH8A1	RPIA	-0.394573829531813	0.00457494095567945	0.0317785141246318
ALDH6A1	RPIA	-0.668955582232893	1.09509493251281e-07	8.9996892635598e-06
ALDH9A1	RPIA	-0.38516206482593	0.00574365469151639	0.0376251002980494
ALDH1L1	RPIA	-0.42953181272509	0.00185280042022073	0.0163979315512683
ALDH7A1	RPIA	-0.639471788715486	5.76616849379263e-07	3.30412121988145e-05
NNT	RPIA	-0.447298919567827	0.00112690032620266	0.0113732460354234
G6PD	RPIA	0.705354141656663	1.0691148855102e-08	1.50341311011301e-06
NUDT1	RPIA	0.630252100840336	9.35529119283629e-07	4.73602261346144e-05
PGM1	RPIA	-0.423385354141657	0.00218715875272624	0.0184537874496688
ALDOB	RPIA	-0.731956782713085	1.54575197086615e-09	3.9126073886564e-07
ALDOA	RPIA	0.521632653061225	0.000102468257210386	0.00189254460014702
SQSTM1	TKT	0.642064825930372	5.01783890882734e-07	2.9400819088018e-05
NQO1	TKT	0.541224489795918	4.94202720866532e-05	0.00108988254371708
MTHFS	TKT	-0.397166866746699	0.0042920717586683	0.0303127567955949
ATIC	TKT	0.532773109243697	6.80630662444059e-05	0.00135868480503029
GPX4	TKT	0.394765906362545	0.00455344090518151	0.0316639275252622
GCLM	TKT	0.565138055222089	1.90406851645619e-05	0.000519183917366548
GSS	TKT	0.478031212484994	0.000446520312893828	0.00549723840465397
GSR	TKT	0.412533013205282	0.00290993497370762	0.0227896887544824
GLRX3	TKT	0.373637454981993	0.00752315773518042	0.0456876604109613
GAPDH	TKT	0.440480192076831	0.00136814618220926	0.0130385979533437
ME1	TKT	0.410996398559424	0.00302772023006304	0.0233082890703636
PGD	TKT	0.527490996398559	8.27807174563766e-05	0.00158738296989076
G6PD	TKT	0.605186074429772	3.2303297221592e-06	0.000122961947440465
IDH2	TKT	-0.403217286914766	0.00369096967438765	0.0269083595616648
NUDT1	TKT	0.372196878751501	0.00777616912873591	0.0467752835044114
ALDOB	TKT	-0.403217286914766	0.00369096967438765	0.0269083595616648
ALDOA	TKT	0.47140456182473	0.000549200208923351	0.00655724324918295
SQSTM1	FBP1	-0.375558223289316	0.00719694437207963	0.0443449503276727
NQO1	FBP1	-0.424249699879952	0.00213711802384031	0.0182014574089657
PKM	FBP1	-0.541128451380552	4.96027453524839e-05	0.00108988254371708
CAT	FBP1	0.528451380552221	7.99054026889845e-05	0.00154630393949815
MTHFS	FBP1	0.578871548619448	1.0639179353511e-05	0.000330023171318714
ATIC	FBP1	-0.571860744297719	1.4366931302856e-05	0.000420897876317005
GSS	FBP1	-0.5137575030012	0.000135678003059692	0.00233942889199381
GSR	FBP1	-0.526146458583433	8.69652855315373e-05	0.00166258709016184
GGCT	FBP1	-0.404945978391357	0.0035334412537309	0.0260905673904424
GLRX3	FBP1	-0.591548619447779	6.07031438826233e-06	0.000203243118777376
GLRX	FBP1	0.455078031212485	0.000898730288534821	0.009574352299408
MTHFD1	FBP1	0.495798319327731	0.000250994457413167	0.00367660399655214
ALDH2	FBP1	0.559183673469388	2.43117303568852e-05	0.000617849918467347
ALDH5A1	FBP1	0.449603841536615	0.00105441859712263	0.0107445424840451
ALDH8A1	FBP1	0.606914765906363	2.97581748998077e-06	0.000116240574546903
ALDH6A1	FBP1	0.592701080432173	5.76159470710991e-06	0.000193932826098891
ALDH9A1	FBP1	0.413205282112845	0.00285968995947616	0.0225076095317975
ALDH7A1	FBP1	0.478991596638655	0.000433174216532439	0.00541724593323572
NNT	FBP1	0.418295318127251	0.00250349148898033	0.020494300313412
IDH3B	FBP1	-0.42578631452581	0.00205066096827511	0.0177033869130217
G6PD	FBP1	-0.658775510204082	1.9837735254491e-07	1.3794855900046e-05
NUDT1	FBP1	-0.608835534213686	2.71492688552755e-06	0.000108734540073534
PGLS	FBP1	-0.437887154861945	0.00147135615779281	0.0138346831597517
